index,x,y,z,yaw
117,-71.1119613647461,-65.22982025146484,0.0,179.60081481933594
118,-72.16201782226562,-65.20740509033203,0.0,177.95314025878906
119,-73.21098327636719,-65.1548080444336,0.0,176.3054656982422
120,-74.25801086425781,-65.07206726074219,0.0,174.6577911376953
121,-75.3022232055664,-64.9592514038086,0.0,173.01011657714844
122,-76.34275817871094,-64.81645965576172,0.0,171.36245727539062
123,-77.3787612915039,-64.64381408691406,0.0,169.71478271484375
124,-78.40937042236328,-64.44144439697266,0.0,168.06710815429688
125,-79.43373107910156,-64.20953369140625,0.0,166.41943359375
126,-80.45100402832031,-63.94825744628906,0.0,164.77175903320312
127,-81.4603500366211,-63.657840728759766,0.0,163.12408447265625
128,-82.46092224121094,-63.33852005004883,0.0,161.47642517089844
129,-83.45189666748047,-62.99056625366211,0.0,159.82875061035156
130,-84.43245697021484,-62.6142578125,0.0,158.1810760498047
131,-85.40179443359375,-62.20991516113281,0.0,156.5334014892578
132,-86.35910034179688,-61.77786636352539,0.0,154.88572692871094
133,-87.3035888671875,-61.3184700012207,0.0,153.23806762695312
134,-88.23448181152344,-60.83210754394531,0.0,151.59039306640625
135,-89.15100860595703,-60.31917953491211,0.0,149.94271850585938
136,-90.0523910522461,-59.78010559082031,0.0,148.2950439453125
137,-90.93791961669922,-59.2153434753418,0.0,146.64736938476562
138,-91.80683898925781,-58.62535095214844,0.0,144.99969482421875
139,-92.65843200683594,-58.010616302490234,0.0,143.35203552246094
140,-93.49199676513672,-57.37165069580078,0.0,141.70436096191406
141,-94.30683898925781,-56.708984375,0.0,140.0566864013672
142,-95.102294921875,-56.02315902709961,0.0,138.4090118408203
143,-95.87770080566406,-55.31474304199219,0.0,136.76133728027344
144,-96.6324234008789,-54.58433151245117,0.0,135.11367797851562
145,-97.3658218383789,-53.83251190185547,0.0,133.46600341796875
146,-98.07730865478516,-53.05992126464844,0.0,131.81832885742188
147,-98.76628112792969,-52.26719665527344,0.0,130.170654296875
148,-99.42750549316406,-51.46533966064453,0.0,128.88279724121094
149,-100.07029724121094,-50.65023422241211,0.0,127.63597869873047
150,-100.69519805908203,-49.82133865356445,0.0,126.38916015625
151,-101.30191040039062,-48.979042053222656,0.0,125.14234161376953
152,-101.89016723632812,-48.12374496459961,0.0,123.89552307128906
153,-102.45966339111328,-47.2558479309082,0.0,122.64871215820312
154,-103.01013946533203,-46.375762939453125,0.0,121.40188598632812
155,-103.54133605957031,-45.483909606933594,0.0,120.15506744384766
156,-104.0530014038086,-44.58071517944336,0.0,118.90824890136719
157,-104.54489135742188,-43.66659164428711,0.0,117.66143798828125
158,-105.01677703857422,-42.74198532104492,0.0,116.41461181640625
159,-105.46842956542969,-41.80733108520508,0.0,115.16780090332031
160,-105.89964294433594,-40.863067626953125,0.0,113.92097473144531
161,-106.31019592285156,-39.909645080566406,0.0,112.67415618896484
162,-106.69992065429688,-38.94751739501953,0.0,111.4273452758789
163,-107.06861114501953,-37.977134704589844,0.0,110.18052673339844
164,-107.41609191894531,-36.99896240234375,0.0,108.93370819091797
165,-107.74221801757812,-36.013458251953125,0.0,107.68688201904297
166,-108.04681396484375,-35.02109146118164,0.0,106.44007110595703
167,-108.32975006103516,-34.022335052490234,0.0,105.19325256347656
168,-108.59088134765625,-33.01765441894531,0.0,103.9464340209961
169,-108.83009338378906,-32.007530212402344,0.0,102.69961547851562
170,-109.0472640991211,-30.992441177368164,0.0,101.45280456542969
171,-109.24230194091797,-29.97286605834961,0.0,100.20597839355469
172,-109.41511535644531,-28.949289321899414,0.0,98.95915985107422
173,-109.56559753417969,-27.922195434570312,0.0,97.71234130859375
174,-109.6937026977539,-26.89206886291504,0.0,96.46553039550781
175,-109.79936981201172,-25.859397888183594,0.0,95.21871185302734
176,-109.88253021240234,-24.824674606323242,0.0,93.97188568115234
177,-109.94316864013672,-23.78838539123535,0.0,92.72506713867188
178,-109.98123168945312,-22.751022338867188,0.0,91.47825622558594
179,-109.997802734375,-21.725631713867188,0.0,90.6422348022461
180,-110.0090103149414,-20.72569465637207,0.0,90.6422348022461
181,-110.02022552490234,-19.725757598876953,0.0,90.6422348022461
182,-110.03143310546875,-18.725820541381836,0.0,90.6422348022461
183,-110.04264068603516,-17.72588348388672,0.0,90.6422348022461
184,-110.05384826660156,-16.7259464263916,0.0,90.6422348022461
185,-110.06505584716797,-15.726009368896484,0.0,90.6422348022461
186,-110.07626342773438,-14.726072311401367,0.0,90.6422348022461
187,-110.08747863769531,-13.72613525390625,0.0,90.6422348022461
188,-110.09868621826172,-12.726198196411133,0.0,90.6422348022461
189,-110.10989379882812,-11.726261138916016,0.0,90.6422348022461
190,-110.12110137939453,-10.726323127746582,0.0,90.6422348022461
191,-110.13230895996094,-9.726387023925781,0.0,90.6422348022461
192,-110.14352416992188,-8.726449012756348,0.0,90.6422348022461
193,-110.15473175048828,-7.726512432098389,0.0,90.6422348022461
194,-110.16593933105469,-6.7265753746032715,0.0,90.6422348022461
195,-110.1771469116211,-5.726638317108154,0.0,90.6422348022461
196,-110.1883544921875,-4.726701259613037,0.0,90.6422348022461
